SampleID	Group	Color
CRC110	CRC	#EE3926
CRC111	CRC	#EE3926
CRC112	CRC	#EE3926
CRC113	CRC	#EE3926
CRC114	CRC	#EE3926
CRC115	CRC	#EE3926
CRC116	CRC	#EE3926
CRC117	CRC	#EE3926
CRC118	CRC	#EE3926
CRC119	CRC	#EE3926
CRC120	CRC	#EE3926
